Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-10-07 06:07:05Z : PB = 204918784 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-10-07 06:07:14Z : PB = 240394240 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:07:14Z : PB = 243957760 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:07:14Z : PB = 243957760 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:07:14Z : PB = 243961856 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:07:14Z : PB = 243961856 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:07:14Z : PB = 243961856 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:07:14Z : PB = 243974144 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:07:14Z : PB = 243974144 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:07:14Z : PB = 243978240 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:07:15Z : PB = 249671680 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:07:15Z : PB = 249671680 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:07:15Z : PB = 249671680 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:07:15Z : PB = 249671680 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:07:15Z : PB = 249671680 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:07:15Z : PB = 249675776 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:07:15Z : PB = 249675776 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:07:15Z : PB = 249675776 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:07:15Z : PB = 253145088 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:07:15Z : PB = 253407232 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:07:15Z : PB = 253743104 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:07:15Z : PB = 254074880 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:07:15Z : PB = 254271488 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:07:15Z : PB = 257085440 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:07:15Z : PB = 257085440 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:07:15Z : PB = 257085440 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:07:15Z : PB = 263286784 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:07:15Z : PB = 263286784 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:07:15Z : PB = 263286784 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:07:15Z : PB = 263286784 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:07:15Z : PB = 263286784 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:07:15Z : PB = 263286784 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:07:15Z : PB = 263286784 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:07:15Z : PB = 263286784 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:07:15Z : PB = 256057344 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:07:15Z : PB = 256057344 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:07:15Z : PB = 256057344 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:07:15Z : PB = 256057344 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2023-10-07 06:07:15Z : PB = 256057344 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2023-10-07 06:07:15Z : PB = 256057344 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2023-10-07 06:07:15Z : PB = 256057344 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2023-10-07 06:07:15Z : PB = 256061440 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2023-10-07 06:07:15Z : PB = 256061440 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2023-10-07 06:07:17Z : PB = 256241664 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2023-10-07 06:07:17Z : PB = 256249856 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2023-10-07 06:07:17Z : PB = 256249856 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-10-07 06:09:51Z : PB = 279425024 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-10-07 06:09:51Z : PB = 284672000 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-10-07 06:09:51Z : PB = 284672000 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-10-07 06:09:51Z : PB = 284672000 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2023-10-07 06:09:51Z : PB = 284094464 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2023-10-07 06:09:51Z : PB = 284098560 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-10-07 06:09:51Z : PB = 284098560 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-10-07 06:09:51Z : PB = 284098560 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:51Z : PB = 284102656 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:51Z : PB = 284102656 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:51Z : PB = 284102656 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:51Z : PB = 284102656 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 289808384 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 289808384 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 289808384 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 289808384 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 289808384 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 288223232 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:52Z : PB = 288223232 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:52Z : PB = 288223232 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 289280000 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 289280000 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 289280000 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 289280000 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 289280000 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 284594176 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:52Z : PB = 284594176 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:52Z : PB = 284594176 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 291069952 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 291069952 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 291069952 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 291069952 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 291069952 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 291069952 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:52Z : PB = 291135488 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:52Z : PB = 291266560 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 292024320 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 292024320 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 292024320 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 292024320 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 292024320 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 292941824 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:52Z : PB = 292941824 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:52Z : PB = 292941824 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 299188224 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 299188224 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:52Z : PB = 299188224 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:52Z : PB = 299188224 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 303394816 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 303394816 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 303394816 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 303394816 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2023-10-07 06:09:53Z : PB = 303394816 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2023-10-07 06:09:53Z : PB = 303394816 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2023-10-07 06:09:53Z : PB = 303394816 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2023-10-07 06:09:53Z : PB = 303394816 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2023-10-07 06:09:53Z : PB = 303394816 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2023-10-07 06:09:54Z : PB = 304422912 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2023-10-07 06:09:54Z : PB = 304422912 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2023-10-07 06:09:54Z : PB = 304422912 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-10-07 06:11:38Z : PB = 328388608 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-10-07 06:11:38Z : PB = 328966144 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-10-07 06:11:38Z : PB = 328970240 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-10-07 06:11:38Z : PB = 328773632 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2023-10-07 06:11:38Z : PB = 327704576 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2023-10-07 06:11:38Z : PB = 327589888 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-10-07 06:11:38Z : PB = 327589888 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-10-07 06:11:38Z : PB = 328630272 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:11:38Z : PB = 327659520 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:11:38Z : PB = 327598080 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:11:38Z : PB = 327598080 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:11:38Z : PB = 327598080 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:11:38Z : PB = 333209600 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:11:38Z : PB = 333209600 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:11:38Z : PB = 333209600 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:11:38Z : PB = 333209600 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:11:38Z : PB = 333209600 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:11:38Z : PB = 335056896 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:11:38Z : PB = 335056896 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:11:38Z : PB = 335056896 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:11:38Z : PB = 341680128 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:11:38Z : PB = 341680128 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:11:38Z : PB = 341680128 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:11:38Z : PB = 341680128 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:11:38Z : PB = 341680128 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:11:38Z : PB = 341680128 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:11:38Z : PB = 341680128 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:11:38Z : PB = 341680128 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:11:38Z : PB = 347684864 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:11:38Z : PB = 347684864 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:11:38Z : PB = 347684864 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:11:38Z : PB = 347684864 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:11:38Z : PB = 347684864 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:11:38Z : PB = 347684864 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:11:38Z : PB = 347684864 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:11:38Z : PB = 347684864 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:11:38Z : PB = 353771520 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:11:38Z : PB = 353771520 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:11:38Z : PB = 353771520 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:11:38Z : PB = 353771520 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:11:38Z : PB = 353771520 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:11:38Z : PB = 349822976 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:11:38Z : PB = 349822976 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:11:38Z : PB = 349822976 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:11:39Z : PB = 355569664 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:11:39Z : PB = 355569664 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:11:39Z : PB = 355569664 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:11:39Z : PB = 355569664 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:11:39Z : PB = 355569664 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:11:39Z : PB = 355569664 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:11:39Z : PB = 355569664 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:11:39Z : PB = 355569664 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
